graph_id,node_id,label,train_mask,val_mask,test_mask,feat_feature_00,feat_feature_01,feat_feature_02,feat_feature_03,feat_feature_04,X,Y,Z
0,0,0,True,False,False,0.0,0.0,1.0,0.0,0.0,39.985815,9.597923,19.55
0,1,0,True,False,False,0.0,1.0,0.0,0.0,0.0,35.739028,14.797101,13.25
0,2,0,True,False,False,0.0,1.0,0.0,0.0,0.0,35.739028,47.197101,13.25
0,3,0,True,False,False,0.0,0.0,1.0,0.0,0.0,8.595142,9.7471,8.35
0,4,0,True,False,False,0.0,1.0,0.0,0.0,0.0,44.537304,6.6971,13.25
0,5,0,True,False,False,0.0,0.0,1.0,0.0,0.0,39.985815,18.996277,8.35
0,6,0,True,False,False,0.0,0.0,1.0,0.0,0.0,26.726455,9.7471,8.35
0,7,0,True,False,False,0.0,1.0,0.0,0.0,0.0,35.739028,52.491301,2.85
0,8,0,True,False,False,1.0,0.0,0.0,0.0,0.0,58.896483,9.7471,-2.9
0,9,0,True,False,False,0.0,0.0,1.0,0.0,0.0,47.787461,18.8471,68.149998
0,10,0,True,False,False,1.0,0.0,0.0,0.0,0.0,58.896482,63.524061,-2.9
0,11,0,True,False,False,0.0,0.0,1.0,0.0,0.0,47.787461,34.897923,60.049999
0,12,0,True,False,False,0.0,0.0,1.0,0.0,0.0,8.595141,18.996277,8.35
0,13,0,True,False,False,0.0,0.0,1.0,0.0,0.0,39.985815,34.897923,43.850001
0,14,0,True,False,False,0.0,0.0,1.0,0.0,0.0,60.286599,26.947101,8.35
0,15,0,True,False,False,0.0,1.0,0.0,0.0,0.0,50.732916,39.097101,2.85
0,16,0,True,False,False,0.0,0.0,1.0,0.0,0.0,47.78746,34.897922,84.350003
0,17,0,True,False,False,0.0,0.0,1.0,0.0,0.0,47.78746,34.897923,27.650001
0,18,0,True,False,False,0.0,0.0,1.0,0.0,0.0,47.78746,18.8471,84.350002
0,19,0,True,False,False,0.0,0.0,1.0,0.0,0.0,49.310972,43.147098,27.65
0,20,0,True,False,False,0.0,1.0,0.0,0.0,0.0,11.74373,48.390517,2.85
0,21,0,True,False,False,0.0,1.0,0.0,0.0,0.0,50.732915,47.197101,2.85
0,22,0,True,False,False,1.0,0.0,0.0,0.0,0.0,35.557698,63.524061,-2.9
0,23,0,True,False,False,0.0,0.0,1.0,0.0,0.0,47.787461,18.8471,43.850001
0,24,0,True,False,False,0.0,0.0,1.0,0.0,0.0,39.985815,18.8471,60.049999
0,25,0,True,False,False,0.0,1.0,0.0,0.0,0.0,35.739028,22.897101,2.85
0,26,0,True,False,False,0.0,1.0,0.0,0.0,0.0,17.748903,30.997101,2.85
0,27,0,True,False,False,0.0,1.0,0.0,0.0,0.0,17.748903,48.390517,2.85
0,28,0,True,False,False,1.0,0.0,0.0,0.0,0.0,35.557698,9.7471,-2.9
0,29,0,True,False,False,0.0,0.0,1.0,0.0,0.0,49.310972,43.743809,8.35
0,30,0,True,False,False,0.0,0.0,1.0,0.0,0.0,47.787461,26.9471,76.25
0,31,0,True,False,False,0.0,0.0,1.0,0.0,0.0,39.985815,9.597923,43.850001
0,32,0,True,False,False,0.0,0.0,1.0,0.0,0.0,39.985815,26.947101,51.950001
0,33,0,True,False,False,1.0,0.0,0.0,0.0,0.0,11.750078,34.897922,-2.9
0,34,0,True,False,False,1.0,0.0,0.0,0.0,0.0,23.888302,63.524062,-2.9
0,35,0,True,False,False,0.0,1.0,0.0,0.0,0.0,56.738088,14.797101,2.85
0,36,0,True,False,False,0.0,0.0,1.0,0.0,0.0,39.985815,18.8471,51.950001
0,37,0,True,False,False,1.0,0.0,0.0,0.0,0.0,11.750078,63.524061,-2.9
0,38,0,True,False,False,1.0,0.0,0.0,0.0,0.0,35.557697,53.633936,-2.9
0,39,0,True,False,False,1.0,0.0,0.0,0.0,0.0,23.888302,53.633936,-2.9
0,40,0,True,False,False,0.0,0.0,1.0,0.0,0.0,47.787461,26.9471,60.049999
0,41,0,True,False,False,0.0,1.0,0.0,0.0,0.0,11.74373,30.9971,2.85
0,42,0,True,False,False,0.0,0.0,1.0,0.0,0.0,54.287774,9.7471,8.35
0,43,0,True,False,False,0.0,0.0,1.0,0.0,0.0,14.898667,43.743809,8.35
0,44,0,True,False,False,0.0,1.0,0.0,0.0,0.0,17.748903,6.6971,2.85
0,45,0,True,False,False,0.0,0.0,1.0,0.0,0.0,49.310972,43.147098,84.350003
0,46,0,True,False,False,0.0,0.0,1.0,0.0,0.0,14.898668,9.7471,8.35
0,47,0,True,False,False,0.0,1.0,0.0,0.0,0.0,50.732915,52.89757,2.85
