graph_id,src_id,dst_id,label,train_mask,val_mask,test_mask
0,38,39,0,True,False,False
0,39,38,0,True,False,False
0,38,184,0,True,False,False
0,184,38,0,True,False,False
0,22,38,0,True,False,False
0,38,22,0,True,False,False
0,38,93,0,True,False,False
0,93,38,0,True,False,False
0,38,69,0,True,False,False
0,69,38,0,True,False,False
0,38,7,0,True,False,False
0,7,38,0,True,False,False
0,127,38,0,True,False,False
0,38,127,0,True,False,False
0,38,75,0,True,False,False
0,75,38,0,True,False,False
0,107,232,0,True,False,False
0,232,107,0,True,False,False
0,232,201,0,True,False,False
0,201,232,0,True,False,False
0,73,21,0,True,False,False
0,21,73,0,True,False,False
0,73,184,0,True,False,False
0,184,73,0,True,False,False
0,73,15,0,True,False,False
0,15,73,0,True,False,False
0,73,92,0,True,False,False
0,92,73,0,True,False,False
0,228,73,0,True,False,False
0,73,228,0,True,False,False
0,127,73,0,True,False,False
0,73,127,0,True,False,False
0,73,75,0,True,False,False
0,75,73,0,True,False,False
0,75,206,0,True,False,False
0,206,75,0,True,False,False
0,75,170,0,True,False,False
0,170,75,0,True,False,False
0,75,153,0,True,False,False
0,153,75,0,True,False,False
0,75,192,0,True,False,False
0,192,75,0,True,False,False
0,75,61,0,True,False,False
0,61,75,0,True,False,False
0,75,184,0,True,False,False
0,184,75,0,True,False,False
0,75,183,0,True,False,False
0,183,75,0,True,False,False
0,75,239,0,True,False,False
0,239,75,0,True,False,False
0,75,53,0,True,False,False
0,53,75,0,True,False,False
0,75,145,0,True,False,False
0,145,75,0,True,False,False
0,75,128,0,True,False,False
0,128,75,0,True,False,False
0,75,129,0,True,False,False
0,129,75,0,True,False,False
0,75,116,0,True,False,False
0,116,75,0,True,False,False
0,75,237,0,True,False,False
0,237,75,0,True,False,False
0,75,236,0,True,False,False
0,236,75,0,True,False,False
0,75,234,0,True,False,False
0,234,75,0,True,False,False
0,75,220,0,True,False,False
0,220,75,0,True,False,False
0,75,82,0,True,False,False
0,82,75,0,True,False,False
0,75,224,0,True,False,False
0,224,75,0,True,False,False
0,75,165,0,True,False,False
0,165,75,0,True,False,False
0,75,229,0,True,False,False
0,229,75,0,True,False,False
0,75,70,0,True,False,False
0,70,75,0,True,False,False
0,75,142,0,True,False,False
0,142,75,0,True,False,False
